Vuosi,Kk,Ha_Tunnus,Hallinnonala,Tv_Tunnus,Kirjanpitoyksikkö,PaaluokkaOsasto_TunnusP,PaaluokkaOsasto_sNimi,Luku_TunnusP,Luku_sNimi,Momentti_TunnusP,Momentti_sNimi,TakpT_TunnusP,TakpT_sNimi,TakpTr_sNimi,Tililuokka_Tunnus,Tililuokka_sNimi,Ylatiliryhma_Tunnus,Ylatiliryhma_sNimi,Tiliryhma_Tunnus,Tiliryhma_sNimi,Tililaji_Tunnus,Tililaji_sNimi,LkpT_Tunnus,LkpT_sNimi,Alkuperäinen_talousarvio,Lisätalousarvio,Voimassaoleva_talousarvio,Käytettävissä,Alkusaldo,Nettokertymä_ko_vuodelta,NettoKertymaAikVuosSiirrt,Nettokertymä,Loppusaldo
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.89.,Hyvinvointialueiden ja HUS-yhtymän rahoitus,28.89.30.,Hyvinvointialueiden ja HUS-yhtymän sekä Helsingin kaupungin,28.89.30.,Hyvinvointialueiden ja HUS-yhtymän sekä Helsingin kaupungin eräiden tehtävien rahoitus,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,47146000.0,0.0,47146000.0,47146000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.89.,Hyvinvointialueiden ja HUS-yhtymän rahoitus,28.89.30.,Hyvinvointialueiden ja HUS-yhtymän sekä Helsingin kaupungin,28.89.30.,Hyvinvointialueiden ja HUS-yhtymän sekä Helsingin kaupungin eräiden tehtävien rahoitus,,8,SIIRTOTALOUDEN TUOTOT JA KULUT,82-83,Siirtotalouden kulut,82-83,Siirtotalouden kulut,820,Siirtotalouden kulut paikallishallin,82010000,"Valtionavustukset käyttötalous, paikallishallinto",0.0,0.0,0.0,0.0,0.0,47046000.0,0.0,47046000.0,47046000.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.16.,Ylimääräiset eläkkeet ja muut eläkemenot,28.50.16.4.,Korvaus Vapo Oy:lle (KPY),,8,SIIRTOTALOUDEN TUOTOT JA KULUT,82-83,Siirtotalouden kulut,82-83,Siirtotalouden kulut,824,Siirtotalouden kulut rahoitus- ja va,82400000,"Valtionosuudet käyttötalous, rahoitus- ja vakuutuslaitokset",0.0,0.0,0.0,0.0,0.0,15050.64,0.0,15050.64,15050.64
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,12.,Sekalaiset tulot,12.28.,Valtiovarainministeriön hallinnonala,12.28.93.,Euroopan unionilta saatavat tulot matkamenojen korvaamiseen,12.28.93.,Euroopan unionilta saatavat tulot matkamenojen korvaamiseen,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,-1800000.0,0.0,-1800000.0,-1800000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.1.,"Valtion, kunnan, seurakunnan, yksityisen  palveluksen perusteella myönnetyt eläkkeet, kuntoutustuet ja perhe-eläkkeet sekä valtionapulaitoksen, liikelaitosten ja liiketoimintaa harjoittavien valtion virastojen ja laitosten vastaavat eläkkeet (KPY)",,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,4980890000.0,0.0,4980890000.0,4980890000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.1.,"Valtion, kunnan, seurakunnan, yksityisen  palveluksen perusteella myönnetyt eläkkeet, kuntoutustuet ja perhe-eläkkeet sekä valtionapulaitoksen, liikelaitosten ja liiketoimintaa harjoittavien valtion virastojen ja laitosten vastaavat eläkkeet (KPY)",,8,SIIRTOTALOUDEN TUOTOT JA KULUT,82-83,Siirtotalouden kulut,82-83,Siirtotalouden kulut,826,Siirtotalouden kulut kotitalouksille,82600000,Maksetut eläkkeet,0.0,0.0,0.0,0.0,0.0,414309501.25,0.0,414309501.25,414309501.25
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.05.,Sosiaali- ja terveydenhuollon  sekä pelastustoimen uudistuks,4.21.28.70.05.1.,Sosiaali- ja terveydenhuollon sekä pelastustoimen uudistuksen valmistelun ja toimeenpanon tuki ja ohjaus,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,0.0,0.0,0.0,3059000.0,-3059000.0,0.0,0.0,0.0,-3059000.0
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.05.,Sosiaali- ja terveydenhuollon  sekä pelastustoimen uudistuks,4.21.28.70.05.1.,Sosiaali- ja terveydenhuollon sekä pelastustoimen uudistuksen valmistelun ja toimeenpanon tuki ja ohjaus,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,411,Henkilöstösivukulut,41120000,Eläkemaksut,0.0,0.0,0.0,0.0,0.0,0.0,3630.46,3630.46,3630.46
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.05.,Sosiaali- ja terveydenhuollon  sekä pelastustoimen uudistuks,4.21.28.70.05.1.,Sosiaali- ja terveydenhuollon sekä pelastustoimen uudistuksen valmistelun ja toimeenpanon tuki ja ohjaus,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,411,Henkilöstösivukulut,41140000,Tapaturmamaksut,0.0,0.0,0.0,0.0,0.0,0.0,33.83,33.83,33.83
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.05.,Sosiaali- ja terveydenhuollon  sekä pelastustoimen uudistuks,4.21.28.70.05.1.,Sosiaali- ja terveydenhuollon sekä pelastustoimen uudistuksen valmistelun ja toimeenpanon tuki ja ohjaus,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,411,Henkilöstösivukulut,41100000,Työnantajan sosiaaliturvamaksut,0.0,0.0,0.0,0.0,0.0,0.0,288.87,288.87,288.87
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.05.,Sosiaali- ja terveydenhuollon  sekä pelastustoimen uudistuks,4.21.28.70.05.1.,Sosiaali- ja terveydenhuollon sekä pelastustoimen uudistuksen valmistelun ja toimeenpanon tuki ja ohjaus,,4,TOIMINNAN KULUT,41,Henkilöstökulut,41,Henkilöstökulut,410,Palkat ja palkkiot,41000100,Virkasuhteisten varsinaiset palkat,0.0,0.0,0.0,0.0,0.0,0.0,21557.27,21557.27,21557.27
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.16.,Ylimääräiset eläkkeet ja muut eläkemenot,28.50.16.7.,Muut korvaukset (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,20000.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0
